CampID,Day,Time
3275,2,2020-07-20 05:03:36pm
3064,2,2020-07-20 05:03:39pm
2187,2,2020-07-20 05:03:51pm
2705,2,2020-07-20 05:04:08pm
3446,1,2020-07-20 05:04:13pm
1978,2,2020-07-20 05:04:15pm
2814,2,2020-07-20 05:04:18pm
9009,2,2020-07-20 05:04:30pm
2865,2,2020-07-20 05:04:35pm
2432,1,2020-07-20 05:04:48pm
2612,2,2020-07-20 05:04:50pm
2856,2,2020-07-20 05:04:51pm
2432,1,2020-07-20 05:05:05pm
2356,2,2020-07-20 05:05:25pm
2356,2,2020-07-20 05:05:25pm
2533,1,2020-07-20 05:05:48pm
3325,2,2020-07-20 05:05:54pm
2533,1,2020-07-20 05:06:11pm
3315,1,2020-07-20 05:06:18pm
3449,2,2020-07-20 05:06:20pm
2533,2,2020-07-20 05:06:28pm
3522,2,2020-07-20 05:06:31pm
9009,2,2020-07-20 05:06:32pm
2978.,1,2020-07-20 05:06:41pm
2978,2,2020-07-20 05:06:50pm
9119,2,2020-07-20 05:07:04pm
9009,2,2020-07-20 05:07:10pm
2693,2,2020-07-20 05:07:22pm
2693,1,2020-07-20 05:07:53pm
2384,2,2020-07-20 05:07:57pm
9009,1,2020-07-20 05:07:59pm
2693,2,2020-07-20 05:08:01pm
2291,2,2020-07-20 05:08:05pm
2612,3,2020-07-20 05:08:11pm
3647,2,2020-07-20 05:08:12pm
2612,2,2020-07-20 05:08:19pm
2304,2,2020-07-20 05:08:25pm
9009,2,2020-07-20 05:08:29pm
3250,2,2020-07-20 05:08:30pm
3449,2,2020-07-20 05:08:33pm
3250,2,2020-07-20 05:08:36pm
2218,1,2020-07-20 05:08:47pm
3281,1,2020-07-20 05:09:07pm
3449,2,2020-07-20 05:09:10pm
3262,1,2020-07-20 05:09:10pm
2218,1,2020-07-20 05:09:12pm
3647,2,2020-07-20 05:09:14pm
9011,1,2020-07-20 05:09:30pm
2194,1,2020-07-20 05:09:33pm
9011,2,2020-07-20 05:09:36pm
3250,2,2020-07-20 05:09:40pm
2207,1,2020-07-20 05:09:43pm
2194,1,2020-07-20 05:09:55pm
3250,2,2020-07-20 05:09:59pm
3250,2,2020-07-20 05:10:16pm
3250,2,2020-07-20 05:10:23pm
5019,2,2020-07-20 05:10:43pm
2194,1,2020-07-20 05:10:49pm
2207,2,2020-07-20 05:11:02pm
2194,1,2020-07-20 05:11:20pm
3135,2,2020-07-20 05:12:00pm
2775,1,2020-07-20 05:12:01pm
3499,2,2020-07-20 05:12:02pm
2775,1,2020-07-20 05:12:05pm
2775,1,2020-07-20 05:12:10pm
2775,1,2020-07-20 05:12:39pm
2194,1,2020-07-20 05:12:48pm
3285,1,2020-07-20 05:13:06pm
2869,2,2020-07-20 05:13:17pm
9093,1,2020-07-20 05:13:24pm
2425,1,2020-07-20 05:13:27pm
2425,1,2020-07-20 05:13:34pm
2425,1,2020-07-20 05:13:37pm
2425,1,2020-07-20 05:13:37pm
9009,2,2020-07-20 05:13:39pm
2349,1,2020-07-20 05:13:40pm
9009,2,2020-07-20 05:13:45pm
9009,2,2020-07-20 05:13:46pm
2349,2,2020-07-20 05:13:47pm
2349,2,2020-07-20 05:13:47pm
5080,1,2020-07-20 05:13:49pm
3118,2,2020-07-20 05:13:56pm
9093,1,2020-07-20 05:13:57pm
1971,2,2020-07-20 05:14:02pm
2219,1,2020-07-20 05:14:07pm
2146,1,2020-07-20 05:14:07pm
9093,1,2020-07-20 05:14:08pm
3946,1,2020-07-20 05:14:09pm
9093,1,2020-07-20 05:14:11pm
1971,3,2020-07-20 05:14:15pm
3946,1,2020-07-20 05:14:19pm
1971,2,2020-07-20 05:14:20pm
3046,1,2020-07-20 05:14:26pm
3127,1,2020-07-20 05:14:29pm
2146,2,2020-07-20 05:14:29pm
2425,1,2020-07-20 05:14:35pm
2219,1,2020-07-20 05:14:36pm
2425,1,2020-07-20 05:14:36pm
2425,1,2020-07-20 05:14:36pm
2425,1,2020-07-20 05:14:37pm
3127,1,2020-07-20 05:14:38pm
2219,2,2020-07-20 05:14:45pm
2101,1,2020-07-20 05:14:48pm
2759,2,2020-07-20 05:14:49pm
3164,2,2020-07-20 05:14:51pm
2013,1,2020-07-20 05:14:56pm
3200,1,2020-07-20 05:15:01pm
2219,1,2020-07-20 05:15:03pm
3693,1,2020-07-20 05:15:04pm
3690,2,2020-07-20 05:15:06pm
2219,1,2020-07-20 05:15:06pm
2062,1,2020-07-20 05:15:09pm
3362,1,2020-07-20 05:15:11pm
3200,1,2020-07-20 05:15:13pm
2767,2,2020-07-20 05:15:15pm
2013,1,2020-07-20 05:15:20pm
2585,1,2020-07-20 05:15:32pm
2585,1,2020-07-20 05:15:37pm
